Symbol,Company,Sector,Sub Sector
20MICRONS,20 Microns Limited,Mining,Mining/Minerals
3IINFOTECH,3i Infotech Limited,Computers,Computers - Software
3MINDIA,3M India Limited,Diversified,Diversified
63MOONS,63 moons technologies limited,,
8KMILES,8K Miles Software Services Limited,Computers,Computers - Software
A2ZINFRA,A2Z Infra Engineering Limited,Engineering,Engineering - General
AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals,Pharmaceuticals
AARTIIND,Aarti Industries Limited,Chemicals,Chemicals - Organic - Others
AARVEEDEN,Aarvee Denims & Exports Limited,Textiles,Textiles - Denim
ABAN,Aban Offshore Limited,Oil Drilling,Oil Drilling And Exploration
ABB,ABB India Limited,Electric,Electric Equipment - Switchgear/Circuit Breaker
ABBOTINDIA,Abbott India Limited,Pharmaceuticals,Pharmaceuticals
ABFRL,Aditya Birla Fashion and Retail Limited,Textiles,Products
ABIRLANUVO,,Textiles,Textiles - Manmade Fibre - Rayon
ACC,ACC Limited,Cement,Cement - Major
ACCELYA,Accelya Solutions India Limited,Computers,Software - Medium / Small
ACE,Action Construction Equipment Limited,Engineering,Engineering - Heavy
ADANIENT,Adani Enterprises Limited,Trading,Trading
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Misc,Miscellaneous
ADANIPOWER,Adani Power Limited,Power,Power - Generation/Distribution
ADANITRANS,Adani Transmission Limited,Power,Power - Generation/Distribution
ADFFOODS,ADF Foods Limited,Food Processing,Food Processing - Dairy
ADHUNIK,,Steel,Steel - Sponge Iron
ADHUNIKIND,Adhunik Industries Limited,,
ADLABS,,Recreation / Amusement Parks,Recreation / Amusement Parks
ADORWELD,Ador Welding Limited,Misc,Welding Equipment - Electrodes
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels,Hotels
ADVENZYMES,Advanced Enzyme Technologies Limited,,
AEGISCHEM,Aegis Logistics Limited,Misc,Miscellaneous
AGCNET,AGC Networks Limited,Telecom,Telecommunications - Equipment
AGRITECH,Agri-Tech (India) Limited,Misc,Miscellaneous
AHLEAST,Asian Hotels (East) Limited,Hotels,Hotels
AHLUCONT,Ahluwalia Contracts (India) Limited,Construction,Construction & Contracting - Civil
AHLWEST,Asian Hotels (West) Limited,Hotels,Hotels
AIAENG,AIA Engineering Limited,Engineering,Engineering - Heavy
AIFL,,Textiles,Products
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,Pharmaceuticals
AJMERA,Ajmera Realty & Infra India Limited,Construction,Construction and Contracting - Real Estate
AKSHARCHEM,AksharChem India Limited,,
AKSHOPTFBR,Aksh Optifibre Limited,Cables,Cables - Telephone
AKZOINDIA,Akzo Nobel India Limited,Paints,Paints/Varnishes
ALANKIT,Alankit Limited,Finance,Finance - Investments
ALBERTDAVD,Albert David Limited,,
ALBK,,Banks - PSU,Finance - Banks - Public Sector
ALCHEM,Alchemist Limited,Diversified,Diversified
ALEMBICLTD,Alembic Limited,Pharmaceuticals,Pharmaceuticals
ALICON,Alicon Castalloy Limited,Auto Ancl,Auto Ancl - Others
ALKALI,Alkali Metals Limited,Metals,Metals - Non Ferrous - Others
ALKEM,Alkem Laboratories Limited,Pharmaceuticals,Bulk Drugs & Formln
ALKYLAMINE,Alkyl Amines Chemicals Limited,Chemicals,Chemicals - Organic - Others
ALLCARGO,Allcargo Logistics Limited,Transport,Transport - Road
ALLSEC,Allsec Technologies Limited,Computers,IT Enabled Services
ALMONDZ,Almondz Global Securities Limited,Finance,Finance - Investments
ALOKTEXT,,Textiles,Textiles - Weaving
ALPHAGEO,Alphageo (India) Limited,Oil Drilling,Oil Drilling And Exploration
ALPSINDUS,Alps Industries Limited,Textiles,Textiles - General
AMARAJABAT,Amara Raja Batteries Limited,Auto Ancl,Auto Ancl - Batteries
AMBIKCO,Ambika Cotton Mills Limited,Textiles,Textiles - Spinning - Cotton Blended
AMBUJACEM,Ambuja Cements Limited,Cement,Cement - Major
AMDIND,AMD Industries Limited,Packaging,Packaging - Others
AMRUTANJAN,Amrutanjan Health Care Limited,Pharmaceuticals,Pharmaceuticals
AMTEKAUTO,,Auto Ancl,Auto Ancl - Susp. & Braking - Others
ANANTRAJ,Anant Raj Limited,Construction,Construction and Contracting - Real Estate
ANDHRABANK,,Banks - PSU,Finance - Banks - Public Sector
ANDHRSUGAR,The Andhra Sugars Limited,Sugar,Sugar - Others
ANGIND,,Diversified,Diversified
ANKITMETAL,Ankit Metal & Power Limited,Steel,Steel - Sponge Iron
ANSALAPI,Ansal Properties & Infrastructure Limited,Construction,Construction & Contracting - Housing
ANSALHSG,Ansal Housing Limited,Construction,Construction & Contracting - Housing
APARINDS,Apar Industries Limited,Electric,Electric Equipment - Transformers
APCL,Anjani Portland Cement Limited,,
APCOTEXIND,Apcotex Industries Limited,Misc,Rubber Processing/Rubber Products
APLAPOLLO,APL Apollo Tubes Limited,Steel,Medium / Small
APLLTD,Alembic Pharmaceuticals Limited,Pharmaceuticals,Bulk Drugs & Formln
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Medical,Hospitals & Medical Services
APOLLOTYRE,Apollo Tyres Limited,Auto Ancl,Tyres & Tubes
APTECHT,Aptech Limited,Computers,Computers - Software
ARCHIDPLY,Archidply Industries Limited,Consumer Goods,Decoratives - Wood Based
ARCHIES,Archies Limited,Printing,Printing/Publishing/Stationery
ARCOTECH,Arcotech Limited,Mining,Mining/Minerals
ARIES,Aries Agro Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate
ARIHANTSUP,Arihant Superstructures Limited,,
ARMANFIN,Arman Financial Services Limited,,
AROGRANITE,Aro Granite Industries Limited,Misc,Granites/Marbles
ARROWGREEN,Arrow Greentech Limited,,
ARROWTEX,,Textiles,Textiles - General
ARSSINFRA,ARSS Infrastructure Projects Limited,Construction,Construction & Contracting - Civil
ARVIND,Arvind Limited,Textiles,Textiles - Denim
ARVSMART,Arvind SmartSpaces Limited,,
ASAHIINDIA,Asahi India Glass Limited,Glass,Glass - Others
ASAHISONG,Asahi Songwon Colors Limited,Dyes,Dyes & Pigments
ASAL,Automotive Stampings and Assemblies Limited,Auto Ancl,Auto Ancl - Others
ASHAPURMIN,Ashapura Minechem Limited,Mining,Mining/Minerals
ASHIANA,Ashiana Housing Limited,Construction,Construction and Contracting - Real Estate
ASHIMASYN,Ashima Limited,Textiles,Textiles - Spinning - Cotton Blended
ASHOKA,Ashoka Buildcon Limited,Construction,Construction & Contracting - Civil
ASHOKLEY,Ashok Leyland Limited,Auto,Auto - LCVs/HCVs
ASIANHOTNR,Asian Hotels (North) Limited,Hotels,Hotels
ASIANPAINT,Asian Paints Limited,Paints,Paints/Varnishes
ASIANTILES,Asian Granito India Limited,Ceramics,Ceramics/Tiles/Sanitaryware
ASSAMCO,,Tea-Coffee,Plantations - Tea & Coffee
ASTEC,Astec LifeSciences Limited,Agro,Pesticides/Agro Chemicals
ASTRAL,Astral Poly Technik Limited,Plastics,Plastics - Pipes/Tubes
ASTRAMICRO,Astra Microwave Products Limited,Telecom,Telecommunications - Equipment
ASTRAZEN,AstraZeneca Pharma India Limited,Pharmaceuticals,Pharmaceuticals
ATFL,Agro Tech Foods Limited,Edible Oils,Edible Oils & Solvent Extraction
ATLANTA,Atlanta  Limited,Infrastructure,Infrastructure - General
ATUL,Atul Limited,Dyes,Dyes & Pigments
ATULAUTO,Atul Auto Limited,Auto,Auto - 2 & 3 Wheelers
AURIONPRO,Aurionpro Solutions Limited,Computers,Computers - Software
AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals,Pharmaceuticals
AUSOMENT,Ausom Enterprise Limited,Trading,Trading
AUTOAXLES,Automotive Axles Limited,Auto Ancl,Auto Ancl - Dr. Trans & Steer - Others
AUTOIND,Autoline Industries Limited,Auto Ancl,Auto Ancl - Equipment Lamp
AUTOLITIND,Autolite (India) Limited,Auto Ancl,Auto Ancl - Equipment Lamp
AVANTIFEED,Avanti Feeds Limited,Food Processing,Indian
AVTNPL,AVT Natural Products Limited,Edible Oils,Edible Oils & Solvent Extraction
AXISBANK,Axis Bank Limited,Banks - Private,Finance - Banks - Private Sector
AXISCADES,AXISCADES Engineering Technologies Limited,Computers,Software - Medium / Small
AXISGOLD,,ETF,Gold
AYMSYNTEX,AYM Syntex Limited,Textiles,Textiles - Processing/Texturising
BAFNAPHARM,,Pharmaceuticals,Formulations
BAGFILMS,B.A.G Films and Media Limited,Entertainment,Entertainment/Multi Media
BAJAJ-AUTO,Bajaj Auto Limited,Auto,Auto - 2 & 3 Wheelers
BAJAJCORP,,Diversified,Diversified
BAJAJELEC,Bajaj Electricals Limited,Appliances,Domestic Appliances - Fans
BAJAJFINSV,Bajaj Finserv Limited,Finance,Finance - General
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Sugar,Sugar - Integrated
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Finance,Finance - Investments
BAJFINANCE,Bajaj Finance Limited,Finance,Finance - Leasing & Hire Purchase
BALAJITELE,Balaji Telefilms Limited,Entertainment,Entertainment/Multi Media
BALAMINES,Balaji Amines Limited,Chemicals,Chemicals - Organic - Others
BALKRISHNA,Balkrishna Paper Mills Limited,,
BALKRISIND,Balkrishna Industries Limited,Auto Ancl,Tyres & Tubes
BALLARPUR,Ballarpur Industries Limited,Paper,Paper & Paper Boards
BALMLAWRIE,Balmer Lawrie & Company Limited,Diversified,Diversified
BALPHARMA,Bal Pharma Limited,Pharmaceuticals,Pharmaceuticals
BALRAMCHIN,Balrampur Chini Mills Limited,Sugar,Sugar - Integrated
BANARISUG,Bannari Amman Sugars Limited,Sugar,Sugar - Others
BANCOINDIA,Banco Products (I) Limited,Auto Ancl,Auto Ancl - Engine Parts
BANKBARODA,Bank of Baroda,Banks - PSU,Finance - Banks - Public Sector
BANKBEES,,ETF,Bank Nifty
BANKINDIA,Bank of India,Banks - PSU,Finance - Banks - Public Sector
BANKNIFTY,,Index,Index
BANSWRAS,Banswara Syntex Limited,Textiles,Textiles - Spinning - Synthetic Blended
BARTRONICS,Bartronics India Limited,Computers,Computers - Hardware
BASF,BASF India Limited,Chemicals,Chemicals - Organic - Others
BASML,Bannari Amman Spinning Mills Limited,Textiles,Textiles - General
BATAINDIA,Bata India Limited,Leather,Leather/Synthetic - Footwear
BAYERCROP,Bayer Cropscience Limited,Agro,Pesticides/Agro Chemicals
BBL,Bharat Bijlee Limited,Electric,Electric Equipment - Transformers
BBTC,Bombay Burmah Trading Corporation Limited,Tea-Coffee,Plantations - Tea & Coffee
BEDMUTHA,Bedmutha Industries Limited,Electronics,Electronics - Others
BEL,Bharat Electronics Limited,Electronics,Electronics - Others
BEML,BEML Limited,Engineering,Engineering - Heavy
BEPL,Bhansali Engineering Polymers Limited,Petrochem,Petrochem - Polymers
BERGEPAINT,Berger Paints (I) Limited,Paints,Paints/Varnishes
BFINVEST,BF Investment Limited,Finance,Finance - Investments
BFUTILITIE,BF Utilities Limited,Power,Power - Generation/Distribution
BGRENERGY,BGR Energy Systems Limited,Engineering,Engineering - General
BHAGERIA,Bhageria Industries Limited,Dyes,Dyes & Pigments
BHANDARI,Bhandari Hosiery Exports Limited,,
BHARATFIN,,,
BHARATFORG,Bharat Forge Limited,Auto Ancl,Forgings
BHARATGEAR,Bharat Gears Limited,Auto Ancl,Auto Ancl - Gears & Drive
BHARATIDIL,,,
BHARATRAS,Bharat Rasayan Limited,Agro,Pesticides/Agro Chemicals
BHARATWIRE,Bharat Wire Ropes Limited,,
BHARTIARTL,Bharti Airtel Limited,Telecom,Telecommunications - Service
BHEL,Bharat Heavy Electricals Limited,Engineering,Engineering - Heavy
BHUSANSTL,,Steel,Steel - CR/HR Strips
BIGBLOC,Bigbloc Construction Limited,,
BIL,Bhartiya International Limited,Leather,Leather - Garments
BINANIIND,Binani Industries Limited,Misc,Miscellaneous
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate
BIOCON,Biocon Limited,Pharmaceuticals,Pharmaceuticals
BIRLACABLE,Birla Cable Limited,,
BIRLACORPN,Birla Corporation Limited,Cement,Cement - Major
BLISSGVS,Bliss GVS Pharma Limited,Pharmaceuticals,Contraceptives
BLKASHYAP,B. L. Kashyap and Sons Limited,Construction,Construction & Contracting - Civil
BLS,BLS International Services Limited,,
BLUEBLENDS,Blue Blends (I) Limited,Textiles,Textiles - Processing/Texturising
BLUECOAST,Blue Coast Hotels Limited,Pharmaceuticals,Pharmaceuticals
BLUEDART,Blue Dart Express Limited,Couriers,Couriers
BLUESTARCO,Blue Star Limited,Air Conditioners,Air Conditioners
BODALCHEM,Bodal Chemicals Limited,Dyes,Dyes & Pigments
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Petrochem,Petrochem - Polymers
BOSCHLTD,Bosch Limited,Auto Ancl,Auto Ancl - Engine Parts
BPCL,Bharat Petroleum Corporation Limited,Refineries,Refineries
BPL,BPL Limited,Consumer Goods,Consumer Goods - Electronic
BRFL,Bombay Rayon Fashions Limited,Textiles,Textiles - General
BRIGADE,Brigade Enterprises Limited,Construction,Construction and Contracting - Real Estate
BRITANNIA,Britannia Industries Limited,Food Processing,Food Processing - Dairy
BROOKS,Brooks Laboratories Limited,Pharmaceuticals,Bulk Drugs & Formln
BSE,BSE Limited,,
BSL,BSL Limited,Textiles,Textiles - Weaving
BSLIMITED,,Transmisson Line Towers / Equipment,Transmisson Line Towers / Equipment
BURNPUR,Burnpur Cement Limited,Cement,Cement - Products/Building Materials
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Appliances,Domestic Appliances - Others
BYKE,The Byke Hospitality Ltd,Hotels,Hotels
CADILAHC,Cadila Healthcare Limited,Pharmaceuticals,Pharmaceuticals
CAMLINFINE,Camlin Fine Sciences Limited,Chemicals,Chemicals - Others
CANBK,Canara Bank,Banks - PSU,Finance - Banks - Public Sector
CANFINHOME,Can Fin Homes Limited,Finance,Finance - Housing
CANTABIL,Cantabil Retail India Limited,Textiles,Textiles - Readymade Apparels
CAPF,,Finance,Finance - Investments
CAPLIPOINT,Caplin Point Laboratories Limited,Pharmaceuticals,Formulations
CAPTRUST,Capital Trust Limited,,
CARBORUNIV,Carborundum Universal Limited,Grinding Wheels,Abrasives/Grinding Wheels
CAREERP,Career Point Limited,Misc,Miscellaneous
CARERATING,CARE Ratings Limited,Misc,Miscellaneous
CASTEXTECH,Castex Technologies Limited,Auto Ancl,Auto Ancl - Others
CASTROLIND,Castrol India Limited,Chemicals,Chemicals - Others
CCHHL,Country Club Hospitality & Holidays Limited,Hotels,Hotels
CCL,CCL Products (India) Limited,Tea-Coffee,Plantations - Tea & Coffee
CEATLTD,CEAT Limited,Auto Ancl,Tyres & Tubes
CEBBCO,Commercial Engineers & Body Builders Co Limited,Engineering,Engineering - General
CELEBRITY,Celebrity Fashions Limited,Textiles,Textiles - Readymade Apparels
CELESTIAL,,Pharmaceuticals,Pharmaceuticals
CENTENKA,Century Enka Limited,Textiles,Textiles - Manmade Fibre - PFY/PSF
CENTRALBK,Central Bank of India,Banks - PSU,Finance - Banks - Public Sector
CENTUM,Centum Electronics Limited,Electronics,Electronics - Others
CENTURYPLY,Century Plyboards (India) Limited,Consumer Goods,Decoratives - Wood Based
CENTURYTEX,Century Textiles & Industries Limited,Diversified,Diversified
CERA,Cera Sanitaryware Limited,Ceramics,Ceramics/Tiles/Sanitaryware
CEREBRAINT,Cerebra Integrated Technologies Limited,Computers,Computers - Hardware
CESC,CESC Limited,Power,Power - Generation/Distribution
CGCL,Capri Global Capital Limited,Finance,Finance - Investments
CGPOWER,CG Power and Industrial Solutions Limited,,
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate
CHEMFALKAL,,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash
CHENNPETRO,Chennai Petroleum Corporation Limited,Refineries,Refineries
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Finance,Finance - Leasing & Hire Purchase
CHROMATIC,Chromatic India Limited,Dyes,Dyes & Pigments
CIGNITITEC,Cigniti Technologies Limited,Computers,Software - Medium / Small
CINELINE,Cineline India Limited,Entertainment,Entertainment/Multi Media
CIPLA,Cipla Limited,Pharmaceuticals,Pharmaceuticals
CLEDUCATE,CL Educate Limited,,
CLNINDIA,Clariant Chemicals (India) Limited,Dyes,Dyes & Pigments
CMICABLES,CMI Limited,,
CNOVAPETRO,CIL Nova Petrochemicals Limited,Textiles,Manmade
COALINDIA,Coal India Limited,Mining,Mining/Minerals
COFFEEDAY,Coffee Day Enterprises Limited,Hotels,Hotels
COLPAL,Colgate Palmolive (India) Limited,FMCG,Personal Care
COMPINFO,Compuage Infocom Limited,,
COMPUSOFT,Compucom Software Limited,Computers,Education
CONCOR,Container Corporation of India Limited,Transport,Transport - Road
CONSOFINVT,Consolidated Finvest & Holdings Limited,Finance,Finance - General
CONTROLPR,Control Print Limited,,
CORDSCABLE,Cords Cable Industries Limited,Cables,Cables - Power/Others
COROMANDEL,Coromandel International Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate
CORPBANK,,Banks - PSU,Finance - Banks - Public Sector
COSMOFILMS,Cosmo Films Limited,Plastics,Plastics - BOPP - Sheets/Films
COUNCODOS,Country Condo's Limited,Construction,Construction and Contracting - Real Estate
COX&KINGS,Cox & Kings Limited,Travel,Travel Agen. / Tourism Deve. / Amusement Park
CRISIL,CRISIL Limited,Misc,Services - Others
CROMPTON,Crompton Greaves Consumer Electricals Limited,,
CTE,Cambridge Technology Enterprises Limited,Computers,Software - Medium / Small
CUB,City Union Bank Limited,Banks - Private,Finance - Banks - Private Sector
CUMMINSIND,Cummins India Limited,Engines,Engines
CUPID,Cupid Limited,,
CYBERTECH,Cybertech Systems And Software Limited,Computers,Computers - Software
CYIENT,Cyient Limited,Computers,Software - Medium / Small
DAAWAT,LT Foods Limited,Misc,Food Wholesale
DABUR,Dabur India Limited,FMCG,Personal Care
DALMIABHA,,Refractories / Intermediates,Refractories / Intermediates
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Sugar,Sugar - Integrated
DAMODARIND,Damodar Industries Limited,,
DATAMATICS,Datamatics Global Services Limited,Computers,Computers - Software
DBCORP,D.B.Corp Limited,Printing,Printing/Publishing/Stationery
DBL,Dilip Buildcon Limited,,
DBREALTY,D B Realty Limited,Construction,Construction and Contracting - Real Estate
DBSTOCKBRO,DB (International) Stock Brokers Limited,Finance,Finance - Investments
DCBBANK,DCB Bank Limited,Banks - Private,Finance - Banks - Private Sector
DCM,DCM  Limited,Textiles,Textiles - Spinning - Cotton Blended
DCMSHRIRAM,DCM Shriram Limited,Diversified,Mega
DCW,DCW Limited,Petrochem,Petrochem - Others
DECCANCE,Deccan Cements Limited,Cement,Cement - Mini
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate
DEEPAKNTR,Deepak Nitrite Limited,Chemicals,Chemicals - Inorganic - Others
DEEPIND,Deep Industries Limited,Misc,Services - Others
DELTACORP,Delta Corp Limited,Diversified,Diversified
DELTAMAGNT,Delta Manufacturing Limited,Electronics,Electronics - Others
DEN,Den Networks Limited,Entertainment,Entertainment/Multi Media
DENABANK,,Banks - PSU,Finance - Banks - Public Sector
DENORA,De Nora India Limited,Misc,Welding Equipment - Electrodes
DFMFOODS,DFM Foods Limited,,
DHAMPURSUG,Dhampur Sugar Mills Limited,Sugar,Sugar - Integrated
DHANBANK,Dhanlaxmi Bank Limited,Banks - Private,Finance - Banks - Private Sector
DHANUKA,Dhanuka Agritech Limited,Agro,Pesticides/Agro Chemicals
DHARSUGAR,Dharani Sugars & Chemicals Limited,Sugar,Sugar - Integrated
DHFL,Dewan Housing Finance Corporation Limited,Finance,Finance - Housing
DHUNINV,Dhunseri Investments Limited,Finance,Finance - General
DIAPOWER,Diamond Power Infra Ltd,Cables,Cables - Power/Others
DICIND,DIC India Limited,Printing,Printing/Publishing/Stationery
DIGJAMLTD,Digjam Limited,,
DISHMAN,,Pharmaceuticals,Pharmaceuticals
DISHTV,Dish TV India Limited,Entertainment,Entertainment/Multi Media
DIVISLAB,Divi's Laboratories Limited,Pharmaceuticals,Pharmaceuticals
DLF,DLF Limited,Construction,Construction and Contracting - Real Estate
DLINKINDIA,D-Link (India) Limited,Misc,Miscellaneous
DMART,Avenue Supermarts Limited,,
DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,Oil Drilling,Oil Drilling And Exploration
DONEAR,Donear Industries Limited,Textiles,Textiles - Weaving
DPL,,Petrochem,Petrochem - Others
DPSCLTD,DPSC Limited,Power,Power - Generation/Distribution
DREDGECORP,Dredging Corporation of India Limited,Misc,Miscellaneous
DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Pharmaceuticals
DTIL,Dhunseri Tea & Industries Limited,Tea-Coffee,Plantations - Tea & Coffee
DUCON,Ducon Infratechnologies Limited,,
DWARKESH,Dwarikesh Sugar Industries Limited,Sugar,Sugar - Others
DYNAMATECH,Dynamatic Technologies Limited,Misc,Hydraulics
EASTSILK,Eastern Silk Industries Limited,Textiles,Textiles - Synthetic/Silk
ECEIND,,Misc,Lighting Systems
ECLERX,eClerx Services Limited,Services,Business Services
EDELWEISS,Edelweiss Financial Services Limited,Finance,Finance - General
EDL,Empee Distilleries Limited,Beverages,Beverages - Alcoholic - Breweries
EDUCOMP,Educomp Solutions Limited,Computers,Computers - Software - Training
EICHERMOT,Eicher Motors Limited,Auto,Auto - LCVs/HCVs
EIDPARRY,EID Parry India Limited,Sugar,Sugar - Others
EIHAHOTELS,EIH Associated Hotels Limited,Hotels,Hotels
EIHOTEL,EIH Limited,Hotels,Hotels
EIMCOELECO,Eimco Elecon (India) Limited,Engineering,Engineering - Heavy
EKC,Everest Kanto Cylinder Limited,Packaging,Packaging - Others
ELAND,,Textiles,Textiles - Processing/Texturising
ELECON,Elecon Engineering Company Limited,Engineering,Engineering - Heavy
ELECTCAST,Electrosteel Castings Limited,Castings,Castings/Foundry
ELECTHERM,Electrotherm (India) Limited,Engineering,Engineering - General
ELGIEQUIP,Elgi Equipments Limited,Compressors,Compressors
ELGIRUBCO,Elgi Rubber Company Limited,Misc,Miscellaneous
EMAMILTD,Emami Limited,FMCG,Personal Care
EMCO,Emco Limited,Electric,Electric Equipment - Transformers
EMKAY,Emkay Global Financial Services Limited,Finance,Finance - General
EMMBI,Emmbi Industries Limited,Packaging,Packaging - Metallic
ENDURANCE,Endurance Technologies Limited,,
ENERGYDEV,Energy Development Company Limited,Power,Power - Generation/Distribution
